,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Outside Diameter of Flange O,Flange Thicknesses (Min) - Flange C,Flange Thickness (Min) - Fitting C,Drilling - Diameter of Bolt Circle,Drilling - Diameter of Bolt Holes,Drilling - Number of Bolts,Drilling - Diameter of Bolts,Length of Bolts L - Stud Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - Ring Joint,Length of Bolts L - Machine Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - 1/4 in. Raised Face,Length of Stud Bolts L - Male and Female also Tongue & Groove,Length of Stud Bolts L - RIng Joint
data,600,1,4   7/8  ,  11/16 ,--,3   1/2  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,600,1.25,5   1/4  ,  13/16 ,--,3   7/8  ,   3/4  ,4        ,   5/8  ,--,--,--,3   3/4  ,3   1/2  ,3   3/4  
data,600,1.5,6   1/8  ,   7/8  ,--,4   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2,6   1/2  ,1        ,--,5        ,   3/4  ,8        ,   5/8  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2.5,7   1/2  ,1   1/8  ,--,5   7/8  ,   7/8  ,8        ,   3/4  ,--,--,--,4   3/4  ,4   1/2  ,4   3/4  
data,600,3,8   1/4  ,1   1/4  ,--,6   5/8  ,   7/8  ,8        ,   3/4  ,--,--,--,5        ,4   3/4  ,5        
data,600,3.5,9        ,1   3/8  ,--,7   1/4  ,1        ,8        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,600,4,10   3/4  ,1   1/2  ,--,8   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,600,5,13        ,1   3/4  ,--,10   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/2  ,6   1/4  ,6   1/2  
data,600,6,14        ,1   7/8  ,--,11   1/2  ,1   1/8  ,12        ,1        ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,600,8,16   1/2  ,2   3/16 ,--,13   3/4  ,1   1/4  ,12        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   3/4  
data,600,10,20        ,2   1/2  ,--,17        ,1   3/8  ,16        ,1   1/4  ,--,--,--,8   1/2  ,8   1/2  ,8   1/2  
data,600,12,22        ,2   5/8  ,--,19   1/4  ,1   3/8  ,20        ,1   1/4  ,--,--,--,8   3/4  ,8   1/2  ,8   3/4  
data,600,14,23   3/4  ,2   3/4  ,--,20   3/4  ,1   1/2  ,20        ,1   3/8  ,--,--,--,9   1/4  ,9        ,9   1/4  
data,600,16,27        ,3        ,--,23   3/4  ,1   5/8  ,20        ,1   1/2  ,--,--,--,10        ,9   3/4  ,10        
data,600,18,29   1/4  ,3   1/4  ,--,25   3/4  ,1   3/4  ,20        ,1   5/8  ,--,--,--,10   3/4  ,10   1/2  ,10   3/4  
data,600,20,32        ,3   1/2  ,--,28   1/2  ,1   3/4  ,24        ,1   5/8  ,--,--,--,11   1/4  ,11        ,11   1/2  
data,600,24,37        ,4        ,--,33        ,2        ,24        ,1   7/8  ,--,--,--,13        ,12   3/4  ,13   1/4  
data,900,0.5,4   3/4  ,   7/8  ,--,3   1/4  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4        ,4   1/2  
data,900,0.75,5   1/8  ,1        ,--,3   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4   1/4  ,4   1/2  
data,900,1,5   7/8  ,1   1/8  ,--,4        ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,900,1.25,6   1/4  ,1   1/8  ,--,4   3/8  ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,900,1.5,7        ,1   1/4  ,--,4   7/8  ,1   1/8  ,4        ,1        ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,900,2,8   1/2  ,1   1/2  ,--,6   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,900,2.5,9   3/8  ,1   5/8  ,--,7   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/4  ,6        ,6   1/4  
data,900,3,9        ,1   1/2  ,--,7   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,900,4,11   1/2  ,1   3/4  ,--,9   1/4  ,1   1/4  ,8        ,1   1/8  ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,900,5,13   3/4  ,2        ,--,11        ,1   3/8  ,8        ,1   1/4  ,--,--,--,7   1/2  ,7   1/4  ,7   1/2  
data,900,6,15        ,2   3/16 ,--,12   1/2  ,1   1/4  ,12        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   3/4  
data,900,8,18   1/2  ,2   1/2  ,--,15   1/2  ,1   1/2  ,12        ,1   3/8  ,--,--,--,8   3/4  ,8   1/2  ,8   3/4  
data,900,10,21   1/2  ,2   3/4  ,--,18   1/2  ,1   1/2  ,16        ,1   3/8  ,--,--,--,9   1/4  ,9        ,9   1/4  
data,900,12,24        ,3   1/8  ,--,21        ,1   1/2  ,20        ,1   3/8  ,--,--,--,10        ,9   3/4  ,10        
data,900,14,25   1/4  ,3   3/8  ,--,22        ,1   5/8  ,20        ,1   1/2  ,--,--,--,10   3/4  ,10   1/2  ,11        
data,900,16,27   3/4  ,3   1/2  ,--,24   1/4  ,1   3/4  ,20        ,1   5/8  ,--,--,--,11   1/4  ,11        ,11   1/2  
data,900,18,31        ,4        ,--,27        ,2        ,20        ,1   7/8  ,--,--,--,12   3/4  ,12   1/2  ,13   1/4  
data,900,20,33   1/4  ,4   1/4  ,--,29   1/2  ,2   1/8  ,20        ,2        ,--,--,--,13   3/4  ,13   1/2  ,14   1/4  
data,900,24,41        ,5   1/2  ,--,35   1/2  ,2   5/8  ,20        ,2   1/2  ,--,--,--,17   1/4  ,17        ,18        
data,1500,0.5,4   3/4  ,   7/8  ,--,3   1/4  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4        ,4   1/2  
data,1500,0.75,5   1/8  ,1        ,--,3   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4   1/4  ,4   1/2  
data,1500,1,5   7/8  ,1   1/8  ,--,4        ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,1500,1.25,6   1/4  ,1   1/8  ,--,4   3/8  ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,1500,1.5,7        ,1   1/4  ,--,4   7/8  ,1   1/8  ,4        ,1        ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,1500,2,8   1/2  ,1   1/2  ,--,6   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,1500,2.5,9   3/8  ,1   5/8  ,--,7   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/4  ,6        ,6   1/4  
data,1500,3,10   1/2  ,1   7/8  ,--,8        ,1   1/4  ,8        ,1   1/8  ,--,--,--,7        ,6   3/4  ,7        
data,1500,4,12   1/4  ,2   1/8  ,--,9   1/2  ,1   3/8  ,8        ,1   1/4  ,--,--,--,7   3/4  ,7   1/2  ,7   3/4  
data,1500,5,14   3/4  ,2   7/8  ,--,11   1/2  ,1   5/8  ,8        ,1   1/2  ,--,--,--,9   3/4  ,9   1/2  ,9   3/4  
data,1500,6,15   1/2  ,3   1/4  ,--,12   1/2  ,1   1/2  ,12        ,1   3/8  ,--,--,--,10   1/2  ,10        ,10   1/2  
data,1500,8,19        ,3   5/8  ,--,15   1/2  ,1   3/4  ,12        ,1   5/8  ,--,--,--,11   1/2  ,11   1/4  ,12   3/4  
data,1500,10,23        ,4   1/4  ,--,19        ,2        ,12        ,1   7/8  ,--,--,--,13   1/4  ,13        ,13   1/2  
data,1500,12,26   1/2  ,4   7/8  ,--,22   1/2  ,2   1/8  ,16        ,2        ,--,--,--,14   3/4  ,14   1/2  ,15   1/4  
data,1500,14,29   1/2  ,5   1/4  ,--,25        ,2   3/8  ,16        ,2   1/4  ,--,--,--,16        ,15   3/4  ,16   3/4  
data,1500,16,32   1/2  ,5   3/4  ,--,25   3/4  ,2   5/8  ,16        ,2   1/2  ,--,--,--,17   1/2  ,17   1/4  ,18   1/2  
data,1500,18,36        ,6   3/8  ,--,30   1/2  ,2   7/8  ,16        ,2   3/4  ,--,--,--,19   1/2  ,19   1/4  ,20   3/4  
data,1500,20,38   3/4  ,7        ,--,32   3/4  ,3   1/8  ,16        ,3        ,--,--,--,21   1/2  ,21        ,22   1/4  
data,1500,24,46        ,8        ,--,39        ,3   5/8  ,16        ,3   1/2  ,--,--,--,24   1/4  ,24        ,25   1/2  
data,2500,0.5,5   1/4  ,1   3/16 ,--,3   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   3/4  ,4   1/2  ,4   3/4  
data,2500,0.75,5   1/2  ,1   1/4  ,--,3   3/4  ,   7/8  ,4        ,   3/4  ,--,--,--,5        ,4   3/4  ,5        
data,2500,1,6   1/4  ,1   3/8  ,--,4   1/4  ,1        ,4        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,2500,1.25,7   1/4  ,1   1/2  ,--,5   1/8  ,1   1/8  ,4        ,1        ,--,--,--,6        ,5   3/4  ,6        
data,2500,1.5,8        ,1   3/4  ,--,5   3/4  ,1   1/4  ,4        ,1   1/8  ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,2500,2,9   1/4  ,2        ,--,6   3/4  ,1   1/8  ,8        ,1        ,--,--,--,7        ,6   3/4  ,7        
data,2500,2.5,10   1/2  ,2   1/4  ,--,7   3/4  ,1   1/4  ,8        ,1   1/8  ,--,--,--,7   3/4  ,7   1/2  ,8        
data,2500,3,12        ,2   5/8  ,--,9        ,1   3/8  ,8        ,1   1/4  ,--,--,--,8   3/4  ,8   1/2  ,9        
data,2500,4,14        ,3        ,--,10   3/4  ,1   5/8  ,8        ,1   1/2  ,--,--,--,10        ,9   3/4  ,10   1/4  
data,2500,5,16   1/2  ,3   5/8  ,--,12   3/4  ,1   7/8  ,8        ,1   3/4  ,--,--,--,11   3/4  ,11   1/2  ,12   1/4  
data,2500,6,19        ,4   1/4  ,--,14   1/2  ,2   1/8  ,8        ,2        ,--,--,--,13   1/2  ,13   1/4  ,14        
data,2500,8,21   3/4  ,5        ,--,17   1/4  ,2   1/8  ,12        ,2        ,--,--,--,15        ,14   3/4  ,15   1/2  
data,2500,10,26   1/2  ,6   1/2  ,--,21   1/4  ,2   5/8  ,12        ,2   1/2  ,--,--,--,19   1/4  ,19        ,20        
data,2500,12,30        ,7   1/4  ,--,24   3/8  ,2   7/8  ,12        ,2   3/4  ,--,--,--,21   1/4  ,21        ,22
